,MainM3U8ip,child_m3ips,.ts ips,status,grouptitle,ASN_m3u8,ASN_childm3,ASN_ts,HLS status
Animal Planet,80.80.160.168,{'80.80.160.168'},{'80.80.160.168'},NONE,default,AS21246,['AS21246'],['AS21246'],no
BET,104.31.7.163,['NONE'],['NONE'],Error,default,AS13335,['NONE'],['NONE'],
CBS,161.0.157.50,['NONE'],{'161.0.157.50'},"Whois lookup failed for 161.0.157.50. Rate limit exceeded, wait and try again (possibly a temporary block).",default,NONE,['NONE'],['NONE'],no
CMT Music,104.31.6.163,['NONE'],['NONE'],Error,default,AS13335,['NONE'],['NONE'],
Classic Arts Showcase,151.101.193.194,['NONE'],"{'151.101.193.194', '151.101.1.194'}",NONE,default,AS54113,['NONE'],"['AS54113', 'AS54113']",no
Comedy Central,104.31.6.163,['NONE'],['NONE'],Error,default,AS13335,['NONE'],['NONE'],
Cooking Channel,161.0.157.5,{'161.0.157.5'},{'161.0.157.5'},"Whois lookup failed for 161.0.157.5. Rate limit exceeded, wait and try again (possibly a temporary block).",default,NONE,['NONE'],['NONE'],yes
Court TV,3.130.170.227,{'52.5.145.173'},{'192.229.210.181'},NONE,default,AS16509,['AS14618'],['AS15133'],yes
Discovery HD,80.80.160.168,{'80.80.160.168'},{'80.80.160.168'},NONE,default,AS21246,['AS21246'],['AS21246'],no
Fox,161.0.157.51,{'161.0.157.51'},{'161.0.157.51'},"Whois lookup failed for 161.0.157.51. Rate limit exceeded, wait and try again (possibly a temporary block).",default,NONE,['NONE'],['NONE'],yes
Fox Premium Comedy,161.0.157.9,{'161.0.157.9'},{'161.0.157.9'},"Whois lookup failed for 161.0.157.9. Rate limit exceeded, wait and try again (possibly a temporary block).",default,NONE,['NONE'],['NONE'],yes
HBO,161.0.157.5,['NONE'],{'161.0.157.5'},"Whois lookup failed for 161.0.157.5. Rate limit exceeded, wait and try again (possibly a temporary block).",default,NONE,['NONE'],['NONE'],yes
HBO 2,161.0.157.5,['NONE'],{'161.0.157.5'},"Whois lookup failed for 161.0.157.5. Rate limit exceeded, wait and try again (possibly a temporary block).",default,NONE,['NONE'],['NONE'],no
HLN,89.187.177.2,['NONE'],{'89.187.177.2'},NONE,default,AS60068,['NONE'],['AS60068'],no
HSN,204.237.142.155,{'204.237.142.155'},{'204.237.142.155'},NONE,default,AS20940,['AS20940'],['AS20940'],no
Investigation Discovery (Discovery),80.80.160.168,{'80.80.160.168'},{'80.80.160.168'},NONE,default,AS21246,['AS21246'],['AS21246'],no
MSNBC,89.187.177.2,{'89.187.177.2'},{'89.187.177.2'},NONE,default,AS60068,['AS60068'],['AS60068'],no
NBC,161.0.157.51,['NONE'],{'161.0.157.51'},"Whois lookup failed for 161.0.157.51. Rate limit exceeded, wait and try again (possibly a temporary block).",default,NONE,['NONE'],['NONE'],no
Outdoor Cooking Channel,NONE,['NONE'],['NONE'],Error,default,NONE,['NONE'],['NONE'],
QVC,69.164.0.128,{'69.164.0.128'},{'69.164.0.128'},NONE,default,AS22822,['AS22822'],['AS22822'],no
TBS,NONE,['NONE'],['NONE'],Error,default,NONE,['NONE'],['NONE'],
TLC,80.80.160.168,{'80.80.160.168'},{'80.80.160.168'},NONE,default,AS21246,['AS21246'],['AS21246'],no
TV Land,104.31.6.163,['NONE'],['NONE'],Error,default,AS13335,['NONE'],['NONE'],
