,grouptitle,MainM3U8ip,child_m3ips,.ts ips,status,ASN_m3u8,ASN_childm3,ASN_ts,HOST_m3u8,HLS status
+ Like Us!,"['""INFO"",+ Like Us!']",[],['NONE'],[],Error,[],['NONE'],[],,
12 Strong (2018) (Geo),"['""MOVIES"",12 Strong (2018) (Geo)']",['172.64.160.5'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
2 Fast 2 Furious (2003)*,"['""MOVIES"",2 Fast 2 Furious (2003)*']",['172.64.161.5'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
2036 Origin Unknown (2018) (Geo),"['""MOVIES"",2036 Origin Unknown (2018) (Geo)']",['172.64.161.5'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
50 First Dates (2004),"['""MOVIES"",50 First Dates (2004)']",['172.64.161.5'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
> Free Entertainment,"['""INFO"",> Free Entertainment']",[],['NONE'],[],Error,[],['NONE'],[],,
A Bug's Life (1998),"['""MOVIES"",A Bug\'s Life (1998)']",['172.64.161.5'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
A Nightmare on Elm Street (2010),"['""MOVIES"",A Nightmare on Elm Street (2010)']",['172.64.161.5'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
A Quiet Place (2018) (Geo),"['""MOVIES"",A Quiet Place (2018) (Geo)']",['172.64.161.5'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
Abraham Lincoln Vampire Hunter (2012),"['""MOVIES"",Abraham Lincoln Vampire Hunter (2012)']",['172.64.161.5'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
Ace Ventura: When Nature Calls (1995),"['""MOVIES"",Ace Ventura: When Nature Calls (1995)']",['104.27.172.179'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
Aladdin (1992),"['""MOVIES"",Aladdin (1992)']",['172.64.161.5'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
All Eyez on Me (2017) (Geo),"['""MOVIES"",All Eyez on Me (2017) (Geo)']",['172.64.161.5'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
Annabelle: Creation (2017),"['""MOVIES"",Annabelle: Creation (2017)']",['185.59.223.17'],{'185.59.223.17'},[['185.59.223.17']],NONE,['AS60068'],['AS60068'],['AS60068'],"('new-york-10.cdn77.com', [], ['185.59.223.17'])",no
Avengers: Age of Ultron (2015)*,"['""MOVIES"",Avengers: Age of Ultron (2015)*']",['172.64.161.5'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
Back to the Future (1985),"['""MOVIES"",Back to the Future (1985)']",[],['NONE'],[],Error,[],['NONE'],[],,
Back to the Future Part II (1989),"['""MOVIES"",Back to the Future Part II (1989)']",[],['NONE'],[],Error,[],['NONE'],[],,
Back to the Future Part III (1990),"['""MOVIES"",Back to the Future Part III (1990)']",[],['NONE'],[],Error,[],['NONE'],[],,
Bad Santa (2003),"['""MOVIES"",Bad Santa (2003)']",['172.64.161.5'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
Bad Santa 2 (2016) (Geo),"['""MOVIES"",Bad Santa 2 (2016) (Geo)']",['172.64.161.5'],['NONE'],[],Error,['AS13335'],['NONE'],[],cant reverse lookup,
